dataid	knownlabel	readtype	predictedlabel	readcounts	testclass
FPRT10	Influenza	MM	Sars_cov_2	0	Coronaviridae
FPRT10	Metapneumovirus	MM	Sars_cov_2	0	Coronaviridae
FPRT10	Rhinovirus	MM	Sars_cov_2	0	Coronaviridae
FPRT10	Sars_cov_2	MM	Sars_cov_2	1063	Coronaviridae
FPRT10	Unrelated	MM	Sars_cov_2	0	Coronaviridae
FPRT11	Human	EQUAL	Coronaviridae	0	Coronaviridae
FPRT11	Influenza	EQUAL	Coronaviridae	0	Coronaviridae
FPRT11	Metapneumovirus	EQUAL	Coronaviridae	0	Coronaviridae
FPRT11	Rhinovirus	EQUAL	Coronaviridae	0	Coronaviridae
FPRT11	Sars_cov_2	EQUAL	Coronaviridae	0	Coronaviridae
FPRT11	Human	INDEL	Coronaviridae	0	Coronaviridae
FPRT11	Influenza	INDEL	Coronaviridae	0	Coronaviridae
FPRT11	Metapneumovirus	INDEL	Coronaviridae	0	Coronaviridae
FPRT11	Rhinovirus	INDEL	Coronaviridae	0	Coronaviridae
FPRT11	Sars_cov_2	INDEL	Coronaviridae	0	Coronaviridae
FPRT11	Human	MM	Coronaviridae	0	Coronaviridae
FPRT11	Influenza	MM	Coronaviridae	0	Coronaviridae
FPRT11	Metapneumovirus	MM	Coronaviridae	0	Coronaviridae
FPRT11	Rhinovirus	MM	Coronaviridae	0	Coronaviridae
FPRT11	Sars_cov_2	MM	Coronaviridae	2	Coronaviridae
FPRT11	Human	EQUAL	Discarded	0	Coronaviridae
FPRT11	Influenza	EQUAL	Discarded	2146	Coronaviridae
FPRT11	Metapneumovirus	EQUAL	Discarded	0	Coronaviridae
FPRT11	Rhinovirus	EQUAL	Discarded	469	Coronaviridae
FPRT11	Sars_cov_2	EQUAL	Discarded	88	Coronaviridae
FPRT11	Human	INDEL	Discarded	0	Coronaviridae
FPRT11	Influenza	INDEL	Discarded	2	Coronaviridae
FPRT11	Metapneumovirus	INDEL	Discarded	0	Coronaviridae
FPRT11	Rhinovirus	INDEL	Discarded	0	Coronaviridae
FPRT11	Sars_cov_2	INDEL	Discarded	0	Coronaviridae
FPRT11	Human	MM	Discarded	0	Coronaviridae
FPRT11	Influenza	MM	Discarded	590	Coronaviridae
FPRT11	Metapneumovirus	MM	Discarded	0	Coronaviridae
FPRT11	Rhinovirus	MM	Discarded	116	Coronaviridae
FPRT11	Sars_cov_2	MM	Discarded	13	Coronaviridae
FPRT11	Human	EQUAL	Human	17479	Coronaviridae
FPRT11	Influenza	EQUAL	Human	19	Coronaviridae
FPRT11	Metapneumovirus	EQUAL	Human	0	Coronaviridae
FPRT11	Rhinovirus	EQUAL	Human	0	Coronaviridae
FPRT11	Sars_cov_2	EQUAL	Human	0	Coronaviridae
FPRT11	Human	INDEL	Human	7	Coronaviridae
FPRT11	Influenza	INDEL	Human	0	Coronaviridae
FPRT11	Metapneumovirus	INDEL	Human	0	Coronaviridae
FPRT11	Rhinovirus	INDEL	Human	0	Coronaviridae
FPRT11	Sars_cov_2	INDEL	Human	0	Coronaviridae
FPRT11	Human	MM	Human	4970	Coronaviridae
FPRT11	Influenza	MM	Human	30	Coronaviridae
FPRT11	Metapneumovirus	MM	Human	61	Coronaviridae
FPRT11	Rhinovirus	MM	Human	10	Coronaviridae
FPRT11	Sars_cov_2	MM	Human	9	Coronaviridae
FPRT11	Human	EQUAL	Influenza	0	Coronaviridae
FPRT11	Influenza	EQUAL	Influenza	137184	Coronaviridae
FPRT11	Metapneumovirus	EQUAL	Influenza	0	Coronaviridae
FPRT11	Rhinovirus	EQUAL	Influenza	0	Coronaviridae
FPRT11	Sars_cov_2	EQUAL	Influenza	0	Coronaviridae
FPRT11	Human	INDEL	Influenza	0	Coronaviridae
FPRT11	Influenza	INDEL	Influenza	22	Coronaviridae
FPRT11	Metapneumovirus	INDEL	Influenza	0	Coronaviridae
FPRT11	Rhinovirus	INDEL	Influenza	0	Coronaviridae
FPRT11	Sars_cov_2	INDEL	Influenza	0	Coronaviridae
FPRT11	Human	MM	Influenza	0	Coronaviridae
FPRT11	Influenza	MM	Influenza	38861	Coronaviridae
FPRT11	Metapneumovirus	MM	Influenza	0	Coronaviridae
FPRT11	Rhinovirus	MM	Influenza	0	Coronaviridae
FPRT11	Sars_cov_2	MM	Influenza	0	Coronaviridae
FPRT11	Human	EQUAL	Metapneumovirus	0	Coronaviridae
